metric,group1,group2,mean_diff_group2_minus_group1,median_diff_group2_minus_group1,ci_low,ci_high,wins_group2,losses_group2,ties,wilcoxon_statistic,p_value,p_holm,reject_holm
ndcg10,bge_m3_hybrid_315,bge_m3_hybrid_414,-0.0336844714377162,0.0,-0.03704379063253415,-0.030325152242898248,1445,2582,10950,18419310.0,2.8710759289161406e-77,4.880829079157439e-76,True
ndcg10,bge_m3_hybrid_315,bge_m3_hybrid_424,-0.04265088407529921,0.0,-0.04618990240070963,-0.03911186574988879,1401,2825,10751,17664377.5,1.040382764504158e-113,2.7049951877108107e-112,True
ndcg10,bge_m3_hybrid_315,bge_m3_hybrid_513,-0.00010059080516551595,0.0,-0.0011449390154905051,0.0009437574051594733,715,689,13573,9845705.0,0.511396924884715,1.0,False
ndcg10,bge_m3_hybrid_315,bge_m3_hybrid_513_tk1000,-7.680719115015759e-05,0.0,-0.001122195981966681,0.0009685815996663658,716,689,13572,9845152.0,0.4940537629337388,1.0,False
ndcg10,bge_m3_hybrid_315,bge_m3_hybrid_513_tk500,-7.680719115015759e-05,0.0,-0.001122195981966681,0.0009685815996663658,716,689,13572,9845152.0,0.4940537629337388,1.0,False
ndcg10,bge_m3_hybrid_315,bge_m3_hybrid_514,-0.03625539596995129,0.0,-0.03958488292455442,-0.032925909015348157,1385,2616,10976,17636437.5,9.231569674612362e-91,1.938629631668596e-89,True
ndcg10,bge_m3_hybrid_315,reranked_results,0.08715429419714486,0.0,0.08254514708512523,0.0917634413091645,3415,1182,10380,14388817.5,1.7813643378320493e-255,5.7003658810625576e-254,True
ndcg10,bge_m3_hybrid_315,nemotron_topk400,0.13237403310274287,0.0,0.12758020013250718,0.13716786607297857,4119,688,10170,8033967.5,0.0,0.0,True
ndcg10,bge_m3_hybrid_315,rer_bge_m3_hybrid_513_nemotron,0.11885190967897814,0.0,0.11429636482242465,0.12340745453553163,3759,635,10583,7595542.5,0.0,0.0,True
ndcg10,bge_m3_hybrid_315,rer_bge_m3_hybrid_513_nemotron_tk1000,0.13994324149768017,0.0,0.13501501197971796,0.14487147101564238,4364,763,9850,8764021.5,0.0,0.0,True
ndcg10,bge_m3_hybrid_315,rer_bge_m3_hybrid_513_nemotron_tk500,0.13849292097440202,0.0,0.13359566660974023,0.1433901753390638,4316,747,9914,8602442.5,0.0,0.0,True
ndcg10,bge_m3_hybrid_414,bge_m3_hybrid_424,-0.00896641263758301,0.0,-0.010806196432934616,-0.007126628842231406,1010,1475,12492,13822012.0,3.0113952067567032e-21,4.517092810135055e-20,True
ndcg10,bge_m3_hybrid_414,bge_m3_hybrid_513,0.03358388063255068,0.0,0.03024627645552776,0.03692148480957361,2594,1431,10952,18262378.0,3.458401796014531e-80,6.225123232826156e-79,True
ndcg10,bge_m3_hybrid_414,bge_m3_hybrid_513_tk1000,0.033607664246566034,0.0,0.030269795896963724,0.03694553259616834,2595,1431,10951,18261610.5,2.6775807211109145e-80,5.355161442221829e-79,True
ndcg10,bge_m3_hybrid_414,bge_m3_hybrid_513_tk500,0.033607664246566034,0.0,0.030269795896963724,0.03694553259616834,2595,1431,10951,18261610.5,2.6775807211109145e-80,5.355161442221829e-79,True
ndcg10,bge_m3_hybrid_414,bge_m3_hybrid_514,-0.002570924532235093,0.0,-0.0035463568636710198,-0.0015954922007991657,523,642,13812,7507465.0,0.00035499796534949925,0.0035499796534949925,True
ndcg10,bge_m3_hybrid_414,reranked_results,0.12083876563486105,0.0,0.1158922014296041,0.125785329840118,4175,1122,9680,12931075.0,0.0,0.0,True
ndcg10,bge_m3_hybrid_414,nemotron_topk400,0.16605850454045906,0.0,0.1608955388673472,0.17122147021357093,4948,714,9315,7827676.0,0.0,0.0,True
ndcg10,bge_m3_hybrid_414,rer_bge_m3_hybrid_513_nemotron,0.15253638111669435,0.0,0.14756337029986644,0.15750939193352226,4585,676,9716,7583442.5,0.0,0.0,True
ndcg10,bge_m3_hybrid_414,rer_bge_m3_hybrid_513_nemotron_tk1000,0.17362771293539633,0.0,0.16837315657335428,0.1788822692974384,5168,725,9084,7873744.5,0.0,0.0,True
ndcg10,bge_m3_hybrid_414,rer_bge_m3_hybrid_513_nemotron_tk500,0.17217739241211819,0.0,0.166952244481426,0.17740254034281036,5117,708,9152,7712030.5,0.0,0.0,True
ndcg10,bge_m3_hybrid_424,bge_m3_hybrid_513,0.04255029327013369,0.0,0.03901266466239414,0.046087921877873236,2860,1397,10720,17630076.0,6.939087357301805e-118,1.8735535864714874e-116,True
ndcg10,bge_m3_hybrid_424,bge_m3_hybrid_513_tk1000,0.04257407688414905,0.0,0.03903621450370086,0.04611193926459724,2861,1397,10719,17629371.0,5.192708555410065e-118,1.5058854810689188e-116,True
ndcg10,bge_m3_hybrid_424,bge_m3_hybrid_513_tk500,0.04257407688414905,0.0,0.03903621450370086,0.04611193926459724,2861,1397,10719,17629371.0,5.192708555410065e-118,1.5058854810689188e-116,True
ndcg10,bge_m3_hybrid_424,bge_m3_hybrid_514,0.006395488105347918,0.0,0.0046484937346421085,0.008142482476053729,1395,1066,12516,14609922.0,1.4463513914253224e-11,2.0248919479954513e-10,True
ndcg10,bge_m3_hybrid_424,reranked_results,0.12980517827244406,0.0,0.12474659650727332,0.1348637600376148,4372,1110,9495,12621311.0,0.0,0.0,True
ndcg10,bge_m3_hybrid_424,nemotron_topk400,0.17502491717804206,0.0,0.16975620120501508,0.18029363315106903,5157,713,9107,7733088.0,0.0,0.0,True
ndcg10,bge_m3_hybrid_424,rer_bge_m3_hybrid_513_nemotron,0.16150279375427737,0.0,0.15640901131458762,0.16659657619396712,4792,682,9503,7556894.0,0.0,0.0,True
ndcg10,bge_m3_hybrid_424,rer_bge_m3_hybrid_513_nemotron_tk1000,0.18259412557297935,0.0,0.17724776921859145,0.18794048192736726,5354,711,8912,7635923.5,0.0,0.0,True
ndcg10,bge_m3_hybrid_424,rer_bge_m3_hybrid_513_nemotron_tk500,0.1811438050497012,0.0,0.1758240244217883,0.18646358567761412,5297,698,8982,7507537.0,0.0,0.0,True
ndcg10,bge_m3_hybrid_513,bge_m3_hybrid_513_tk1000,2.3783614015358363e-05,0.0,-2.283518061639622e-05,7.040240864711294e-05,1,0,14976,0.0,0.31731050786291415,1.0,False
ndcg10,bge_m3_hybrid_513,bge_m3_hybrid_513_tk500,2.3783614015358363e-05,0.0,-2.283518061639622e-05,7.040240864711294e-05,1,0,14976,0.0,0.31731050786291415,1.0,False
ndcg10,bge_m3_hybrid_513,bge_m3_hybrid_514,-0.03615480516478577,0.0,-0.039464205583705565,-0.03284540474586597,1363,2630,10984,17397313.5,4.142609880016513e-95,9.11374173603633e-94,True
ndcg10,bge_m3_hybrid_513,reranked_results,0.08725488500231038,0.0,0.08264161798553962,0.09186815201908113,3434,1189,10354,14467467.0,1.8604296744737187e-256,6.511503860658016e-255,True
ndcg10,bge_m3_hybrid_513,nemotron_topk400,0.13247462390790837,0.0,0.12767833810974138,0.13727090970607536,4112,684,10181,7996395.0,0.0,0.0,True
ndcg10,bge_m3_hybrid_513,rer_bge_m3_hybrid_513_nemotron,0.11895250048414367,0.0,0.11439441852396945,0.1235105824443179,3748,633,10596,7575562.5,0.0,0.0,True
