metric,group1,group2,mean_diff_group2_minus_group1,median_diff_group2_minus_group1,ci_low,ci_high,wins_group2,losses_group2,ties,wilcoxon_statistic,p_value,p_holm,reject_holm
precision1,bge_m3_hybrid_315,bge_m3_hybrid_414,-0.05221339387060159,0.0,-0.05761473677737264,-0.04681205096383054,481,1263,13233,6784745.5,3.0675522094142305e-78,7.05537008165273e-77,True
precision1,bge_m3_hybrid_315,bge_m3_hybrid_424,-0.06396474594378046,0.0,-0.06963159015249644,-0.05829790173506448,489,1447,13041,6850645.5,4.208306697983219e-105,1.3045750763747978e-103,True
precision1,bge_m3_hybrid_315,bge_m3_hybrid_513,-0.0010683047339253523,0.0,-0.0030958147886301106,0.0009592053207794059,112,128,14737,1664040.0,0.3016995824783478,1.0,False
precision1,bge_m3_hybrid_315,bge_m3_hybrid_513_tk1000,-0.0010683047339253523,0.0,-0.0030958147886301106,0.0009592053207794059,112,128,14737,1664040.0,0.3016995824783478,1.0,False
precision1,bge_m3_hybrid_315,bge_m3_hybrid_513_tk500,-0.0010683047339253523,0.0,-0.0030958147886301106,0.0009592053207794059,112,128,14737,1664040.0,0.3016995824783478,1.0,False
precision1,bge_m3_hybrid_315,bge_m3_hybrid_514,-0.05561861520998865,0.0,-0.06096176846209249,-0.05027546195788481,440,1273,13264,6213240.0,4.332681658594728e-90,1.1698240478205765e-88,True
precision1,bge_m3_hybrid_315,reranked_results,0.09861788075048407,0.0,0.09204601492295329,0.10518974657801484,2072,595,12310,8118180.0,6.6814079646854066e-180,2.13805054869933e-178,True
precision1,bge_m3_hybrid_315,nemotron_topk400,0.13707685117179674,0.0,0.1307085249073484,0.14344517743624507,2351,298,12328,4068594.0,0.0,0.0,True
precision1,bge_m3_hybrid_315,rer_bge_m3_hybrid_513_nemotron,0.13120117513520732,0.0,0.12495834285684518,0.13744400741356946,2249,284,12444,3893924.0,0.0,0.0,True
precision1,bge_m3_hybrid_315,rer_bge_m3_hybrid_513_nemotron_tk1000,0.14836081992388328,0.0,0.14167396980867866,0.1550476700390879,2581,359,12037,4849192.5,0.0,0.0,True
precision1,bge_m3_hybrid_315,rer_bge_m3_hybrid_513_nemotron_tk500,0.14796020564866127,0.0,0.14129416576085388,0.15462624553646867,2569,353,12055,4771324.5,0.0,0.0,True
precision1,bge_m3_hybrid_414,bge_m3_hybrid_424,-0.011751352073178874,0.0,-0.0152776642836184,-0.008225039862739349,276,452,14249,4033326.0,6.891762699754868e-11,7.580938969730354e-10,True
precision1,bge_m3_hybrid_414,bge_m3_hybrid_513,0.05114508913667624,0.0,0.04575381872951395,0.056536359543838524,1251,485,13241,6843107.5,1.7455977578481308e-75,3.8403150672658875e-74,True
precision1,bge_m3_hybrid_414,bge_m3_hybrid_513_tk1000,0.05114508913667624,0.0,0.04575381872951395,0.056536359543838524,1251,485,13241,6843107.5,1.7455977578481308e-75,3.8403150672658875e-74,True
precision1,bge_m3_hybrid_414,bge_m3_hybrid_513_tk500,0.05114508913667624,0.0,0.04575381872951395,0.056536359543838524,1251,485,13241,6843107.5,1.7455977578481308e-75,3.8403150672658875e-74,True
precision1,bge_m3_hybrid_414,bge_m3_hybrid_514,-0.00340522133938706,0.0,-0.005393675292384464,-0.0014167673863896553,90,141,14746,1337580.0,0.0007920629332641197,0.0063365034661129575,True
precision1,bge_m3_hybrid_414,reranked_results,0.15083127462108567,0.0,0.1437610085617406,0.15790154068043075,2759,500,11718,6674000.0,0.0,0.0,True
precision1,bge_m3_hybrid_414,nemotron_topk400,0.18929024504239833,0.0,0.1822247170561057,0.19635577302869095,3143,308,11526,4081616.0,0.0,0.0,True
precision1,bge_m3_hybrid_414,rer_bge_m3_hybrid_513_nemotron,0.1834145690058089,0.0,0.1764481687050708,0.19038096930654702,3042,295,11640,3926155.0,0.0,0.0,True
precision1,bge_m3_hybrid_414,rer_bge_m3_hybrid_513_nemotron_tk1000,0.20057421379448487,0.0,0.1933230967357324,0.20782533085323734,3338,334,11305,4389261.0,0.0,0.0,True
precision1,bge_m3_hybrid_414,rer_bge_m3_hybrid_513_nemotron_tk500,0.20017359951926286,0.0,0.19294329554652742,0.2074039034919983,3325,327,11325,4300540.5,0.0,0.0,True
precision1,bge_m3_hybrid_424,bge_m3_hybrid_513,0.06289644120985512,0.0,0.057208432159325626,0.06858445026038461,1445,503,13029,7043760.5,4.5247394041327816e-101,1.3574218212398345e-99,True
precision1,bge_m3_hybrid_424,bge_m3_hybrid_513_tk1000,0.06289644120985512,0.0,0.057208432159325626,0.06858445026038461,1445,503,13029,7043760.5,4.5247394041327816e-101,1.3574218212398345e-99,True
precision1,bge_m3_hybrid_424,bge_m3_hybrid_513_tk500,0.06289644120985512,0.0,0.057208432159325626,0.06858445026038461,1445,503,13029,7043760.5,4.5247394041327816e-101,1.3574218212398345e-99,True
precision1,bge_m3_hybrid_424,bge_m3_hybrid_514,0.008346130733791814,0.0,0.0049232861798714275,0.0117689752877122,405,280,14292,4097800.0,1.7881239299526806e-06,1.6093115369574127e-05,True
precision1,bge_m3_hybrid_424,reranked_results,0.16258262669426454,0.0,0.15537458922737968,0.1697906641611494,2932,497,11548,6591711.0,0.0,0.0,True
precision1,bge_m3_hybrid_424,nemotron_topk400,0.20104159711557723,0.0,0.19381391837733097,0.2082692758538235,3333,322,11322,4234300.0,0.0,0.0,True
precision1,bge_m3_hybrid_424,rer_bge_m3_hybrid_513_nemotron,0.19516592107898778,0.0,0.18803023089394394,0.20230161126403162,3233,310,11434,4093860.0,0.0,0.0,True
precision1,bge_m3_hybrid_424,rer_bge_m3_hybrid_513_nemotron_tk1000,0.21232556586766374,0.0,0.20497202146930465,0.21967911026602283,3506,326,11145,4258049.0,0.0,0.0,True
precision1,bge_m3_hybrid_424,rer_bge_m3_hybrid_513_nemotron_tk500,0.21192495159244173,0.0,0.20458242722902148,0.219267475955862,3497,323,11157,4220802.5,0.0,0.0,True
precision1,bge_m3_hybrid_513,bge_m3_hybrid_513_tk1000,0.0,0.0,0.0,0.0,0,0,14977,0.0,1.0,1.0,False
precision1,bge_m3_hybrid_513,bge_m3_hybrid_513_tk500,0.0,0.0,0.0,0.0,0,0,14977,0.0,1.0,1.0,False
precision1,bge_m3_hybrid_513,bge_m3_hybrid_514,-0.0545503104760633,0.0,-0.05988024345466592,-0.04922037749746067,443,1260,13274,6257818.0,3.1160116347084975e-87,8.101630250242094e-86,True
precision1,bge_m3_hybrid_513,reranked_results,0.09968618548440943,0.0,0.09308982886632242,0.10628254210249644,2091,598,12288,8152534.0,2.7399969734700208e-182,9.589989407145072e-181,True
precision1,bge_m3_hybrid_513,nemotron_topk400,0.1381451559057221,0.0,0.1317881416363605,0.1445021701750837,2357,288,12332,3932640.0,0.0,0.0,True
precision1,bge_m3_hybrid_513,rer_bge_m3_hybrid_513_nemotron,0.13226947986913268,0.0,0.126032433712978,0.13850652602528735,2257,276,12444,3784236.0,0.0,0.0,True
precision1,bge_m3_hybrid_513,rer_bge_m3_hybrid_513_nemotron_tk1000,0.14942912465780864,0.0,0.14271257974783041,0.15614566956778686,2603,365,12009,4925127.5,0.0,0.0,True
precision1,bge_m3_hybrid_513,rer_bge_m3_hybrid_513_nemotron_tk500,0.14902851038258663,0.0,0.14233010926537895,0.1557269114997943,2592,360,12025,4860540.0,0.0,0.0,True
precision1,bge_m3_hybrid_513_tk1000,bge_m3_hybrid_513_tk500,0.0,0.0,0.0,0.0,0,0,14977,0.0,1.0,1.0,False
precision1,bge_m3_hybrid_513_tk1000,bge_m3_hybrid_514,-0.0545503104760633,0.0,-0.05988024345466592,-0.04922037749746067,443,1260,13274,6257818.0,3.1160116347084975e-87,8.101630250242094e-86,True
precision1,bge_m3_hybrid_513_tk1000,reranked_results,0.09968618548440943,0.0,0.09308982886632242,0.10628254210249644,2091,598,12288,8152534.0,2.7399969734700208e-182,9.589989407145072e-181,True
precision1,bge_m3_hybrid_513_tk1000,nemotron_topk400,0.1381451559057221,0.0,0.1317881416363605,0.1445021701750837,2357,288,12332,3932640.0,0.0,0.0,True
precision1,bge_m3_hybrid_513_tk1000,rer_bge_m3_hybrid_513_nemotron,0.13226947986913268,0.0,0.126032433712978,0.13850652602528735,2257,276,12444,3784236.0,0.0,0.0,True
precision1,bge_m3_hybrid_513_tk1000,rer_bge_m3_hybrid_513_nemotron_tk1000,0.14942912465780864,0.0,0.14271257974783041,0.15614566956778686,2603,365,12009,4925127.5,0.0,0.0,True
precision1,bge_m3_hybrid_513_tk1000,rer_bge_m3_hybrid_513_nemotron_tk500,0.14902851038258663,0.0,0.14233010926537895,0.1557269114997943,2592,360,12025,4860540.0,0.0,0.0,True
precision1,bge_m3_hybrid_513_tk500,bge_m3_hybrid_514,-0.0545503104760633,0.0,-0.05988024345466592,-0.04922037749746067,443,1260,13274,6257818.0,3.1160116347084975e-87,8.101630250242094e-86,True
