metric,metric_label,system,queries,mean,median,std_dev,ci_low,ci_high,min,max
precision10,Precision@10,bge_m3_hybrid_315,14977,0.06968017627028111,0.1,0.045965549422688406,0.06894396369246301,0.07041638884809921,0.0,0.1
precision10,Precision@10,bge_m3_hybrid_414,14977,0.0680843960739801,0.1,0.046616517613759255,0.0673377571882848,0.06883103495967541,0.0,0.1
precision10,Precision@10,bge_m3_hybrid_424,14977,0.0675435668024304,0.1,0.04682274710307095,0.06679362481809155,0.06829350878676925,0.0,0.1
precision10,Precision@10,bge_m3_hybrid_513,14977,0.0698003605528477,0.1,0.045913902871569386,0.06906497517803299,0.07053574592766242,0.0,0.1
precision10,Precision@10,bge_m3_hybrid_513_tk1000,14977,0.06980703745743473,0.1,0.04591102268980596,0.06907169821338681,0.07054237670148265,0.0,0.1
precision10,Precision@10,bge_m3_hybrid_513_tk500,14977,0.06980703745743473,0.1,0.04591102268980596,0.06907169821338681,0.07054237670148265,0.0,0.1
precision10,Precision@10,bge_m3_hybrid_514,14977,0.06793750417306536,0.1,0.046673240654106246,0.06718995677618549,0.06868505156994524,0.0,0.1
precision10,Precision@10,reranked_results,14977,0.07675769513253657,0.1,0.04223913915843162,0.07608116703888353,0.0774342232261896,0.0,0.1
precision10,Precision@10,nemotron_topk400,14977,0.08188555785537825,0.1,0.03851506518413406,0.08126867682642992,0.08250243888432658,0.0,0.1
precision10,Precision@10,rer_bge_m3_hybrid_513_nemotron,14977,0.0794818722040462,0.1,0.04038475091984431,0.07883504513567302,0.08012869927241939,0.0,0.1
precision10,Precision@10,rer_bge_m3_hybrid_513_nemotron_tk1000,14977,0.08247312545903719,0.1,0.03802095006392097,0.08186415848248157,0.08308209243559281,0.0,0.1
precision10,Precision@10,rer_bge_m3_hybrid_513_nemotron_tk500,14977,0.08219269546638179,0.1,0.03825869953797185,0.08157992054767461,0.08280547038508897,0.0,0.1
