system,queries,mean,median,std_dev,min,max
bge_m3_hybrid_315,14977,0.5571787852484922,0.5,0.46181150748409094,0.0,1.0
bge_m3_hybrid_424,14977,0.5066824686741893,0.5,0.4568641327399542,0.0,1.0
bge_m3_hybrid_513,14977,0.5567091762925375,0.5,0.4613733040388803,0.0,1.0
rer_bge_m3_hybrid_513_nemotron,14977,0.684675391155327,1.0,0.43032059709233406,0.0,1.0
rer_bge_m3_hybrid_513_nemotron_tk1000,14977,0.7018061026907926,1.0,0.4223210337268364,0.0,1.0
rer_bge_m3_hybrid_513_nemotron_tk500,14977,0.7010282433064031,1.0,0.42290304847235677,0.0,1.0
