metric,metric_label,system,queries,mean,median,std_dev,ci_low,ci_high,min,max
recall10,Recall@10,bge_m3_hybrid_315,14977,0.696801762702811,1.0,0.45965549422688406,0.6894396369246301,0.704163888480992,0.0,1.0
recall10,Recall@10,bge_m3_hybrid_414,14977,0.680843960739801,1.0,0.46616517613759256,0.673377571882848,0.6883103495967541,0.0,1.0
recall10,Recall@10,bge_m3_hybrid_424,14977,0.6754356680243039,1.0,0.46822747103070955,0.6679362481809153,0.6829350878676924,0.0,1.0
recall10,Recall@10,bge_m3_hybrid_513,14977,0.698003605528477,1.0,0.45913902871569384,0.6906497517803298,0.7053574592766241,0.0,1.0
recall10,Recall@10,bge_m3_hybrid_513_tk1000,14977,0.6980703745743473,1.0,0.4591102268980596,0.690716982133868,0.7054237670148266,0.0,1.0
recall10,Recall@10,bge_m3_hybrid_513_tk500,14977,0.6980703745743473,1.0,0.4591102268980596,0.690716982133868,0.7054237670148266,0.0,1.0
recall10,Recall@10,bge_m3_hybrid_514,14977,0.6793750417306537,1.0,0.4667324065410624,0.6718995677618549,0.6868505156994524,0.0,1.0
recall10,Recall@10,reranked_results,14977,0.7675769513253655,1.0,0.42239139158431616,0.760811670388835,0.774342232261896,0.0,1.0
recall10,Recall@10,nemotron_topk400,14977,0.8188555785537824,1.0,0.38515065184134056,0.8126867682642991,0.8250243888432658,0.0,1.0
recall10,Recall@10,rer_bge_m3_hybrid_513_nemotron,14977,0.794818722040462,1.0,0.4038475091984431,0.7883504513567301,0.8012869927241939,0.0,1.0
recall10,Recall@10,rer_bge_m3_hybrid_513_nemotron_tk1000,14977,0.8247312545903719,1.0,0.38020950063920966,0.8186415848248157,0.830820924355928,0.0,1.0
recall10,Recall@10,rer_bge_m3_hybrid_513_nemotron_tk500,14977,0.8219269546638178,1.0,0.38258699537971846,0.8157992054767461,0.8280547038508895,0.0,1.0
