metric,group1,group2,mean_diff_group2_minus_group1,median_diff_group2_minus_group1,ci_low,ci_high,wins_group2,losses_group2,ties,wilcoxon_statistic,p_value,p_holm,reject_holm
recall10,bge_m3_hybrid_315,bge_m3_hybrid_414,-0.01595780196300995,0.0,-0.020217305615451375,-0.011698298310568525,412,651,13914,5951752.0,2.293629160889933e-13,2.981717909156913e-12,True
recall10,bge_m3_hybrid_315,bge_m3_hybrid_424,-0.021366094678507044,0.0,-0.02579896879677067,-0.01693322056024342,417,737,13823,6005008.5,4.5144495529669016e-21,9.480344061230493e-20,True
recall10,bge_m3_hybrid_315,bge_m3_hybrid_513,0.0012018428256660213,0.0,-0.000592588315995683,0.0029962739673277256,103,85,14789,1265097.5,0.18925543169201764,1.0,False
recall10,bge_m3_hybrid_315,bge_m3_hybrid_513_tk1000,0.0012686118715363557,0.0,-0.0005305741514491978,0.0030677978945219094,104,85,14788,1265055.0,0.16695738144421524,1.0,False
recall10,bge_m3_hybrid_315,bge_m3_hybrid_513_tk500,0.0012686118715363557,0.0,-0.0005305741514491978,0.0030677978945219094,104,85,14788,1265055.0,0.16695738144421524,1.0,False
recall10,bge_m3_hybrid_315,bge_m3_hybrid_514,-0.01742672097215731,0.0,-0.02166458541100875,-0.013188856533305867,396,657,13924,5722596.0,8.755600710194124e-16,1.488452120733001e-14,True
recall10,bge_m3_hybrid_315,reranked_results,0.07077518862255458,0.0,0.06551229056931017,0.07603808667579899,1376,316,13285,4465554.0,1.950028785468108e-146,6.825100749138378e-145,True
recall10,bge_m3_hybrid_315,nemotron_topk400,0.12205381585097148,0.0,0.11632958205627038,0.12777804964567258,1982,154,12841,2142063.0,0.0,0.0,True
recall10,bge_m3_hybrid_315,rer_bge_m3_hybrid_513_nemotron,0.09801695933765106,0.0,0.09282429137931164,0.10320962729599048,1593,125,13259,1764812.5,9.275345967393407e-275,3.895645306305231e-273,True
recall10,bge_m3_hybrid_315,rer_bge_m3_hybrid_513_nemotron_tk1000,0.12792949188756092,0.0,0.1220400618405479,0.13381892193457395,2093,177,12707,2450122.5,0.0,0.0,True
recall10,bge_m3_hybrid_315,rer_bge_m3_hybrid_513_nemotron_tk500,0.12512519196100688,0.0,0.11931389662307548,0.13093648729893828,2040,166,12771,2303167.0,0.0,0.0,True
recall10,bge_m3_hybrid_414,bge_m3_hybrid_424,-0.005408292715497096,0.0,-0.008027728137879156,-0.0027888572931150358,160,241,14576,2364320.0,5.2334968698810407e-05,0.0005233496869881041,True
recall10,bge_m3_hybrid_414,bge_m3_hybrid_513,0.01715964478867597,0.0,0.012909392791238088,0.021409896786113852,658,401,13918,5793648.0,2.8473946160727387e-15,3.986352462501834e-14,True
recall10,bge_m3_hybrid_414,bge_m3_hybrid_513_tk1000,0.017226413834546303,0.0,0.01297421645375325,0.021478611215339356,659,401,13917,5793447.5,2.2923762737949478e-15,3.6678020380719165e-14,True
recall10,bge_m3_hybrid_414,bge_m3_hybrid_513_tk500,0.017226413834546303,0.0,0.01297421645375325,0.021478611215339356,659,401,13917,5793447.5,2.2923762737949478e-15,3.6678020380719165e-14,True
recall10,bge_m3_hybrid_414,bge_m3_hybrid_514,-0.0014689190091473593,0.0,-0.0030283552038191607,9.051718552444219e-05,60,82,14835,894390.0,0.06486331782204678,0.45404322475432746,False
recall10,bge_m3_hybrid_414,reranked_results,0.08673299058556454,0.0,0.08113975714759436,0.09232622402353471,1619,320,13038,4482560.0,2.889186689912822e-191,1.0401072083686159e-189,True
recall10,bge_m3_hybrid_414,nemotron_topk400,0.13801161781398144,0.0,0.13200577166953367,0.1440174639584292,2229,162,12586,2232684.0,0.0,0.0,True
recall10,bge_m3_hybrid_414,rer_bge_m3_hybrid_513_nemotron,0.11397476130066102,0.0,0.10843984999330777,0.11950967260801426,1845,138,12994,1930068.0,0.0,0.0,True
recall10,bge_m3_hybrid_414,rer_bge_m3_hybrid_513_nemotron_tk1000,0.14388729385057086,0.0,0.13773604724202812,0.1500385404591136,2337,182,12458,2496676.0,0.0,0.0,True
recall10,bge_m3_hybrid_414,rer_bge_m3_hybrid_513_nemotron_tk500,0.14108299392401683,0.0,0.13500462543813968,0.14716136240989397,2284,171,12522,2351250.0,0.0,0.0,True
recall10,bge_m3_hybrid_424,bge_m3_hybrid_513,0.022567937504173064,0.0,0.01809810333388512,0.02703777167446101,756,418,13803,6015229.0,5.92276746703727e-23,1.3030088427481994e-21,True
recall10,bge_m3_hybrid_424,bge_m3_hybrid_513_tk1000,0.0226347065500434,0.0,0.018163043240912242,0.02710636985917456,757,418,13802,6015020.0,4.6165553525849535e-23,1.1079732846203888e-21,True
recall10,bge_m3_hybrid_424,bge_m3_hybrid_513_tk500,0.0226347065500434,0.0,0.018163043240912242,0.02710636985917456,757,418,13802,6015020.0,4.6165553525849535e-23,1.1079732846203888e-21,True
recall10,bge_m3_hybrid_424,bge_m3_hybrid_514,0.003939373706349736,0.0,0.001392195915250099,0.0064865514974493735,219,160,14598,2366080.0,0.002440469875996978,0.02193061328090109,True
recall10,bge_m3_hybrid_424,reranked_results,0.09214128330106162,0.0,0.0864380961587518,0.09784447044337145,1703,323,12951,4510533.5,1.9989439163606983e-206,7.5959868821706535e-205,True
recall10,bge_m3_hybrid_424,nemotron_topk400,0.14341991052947853,0.0,0.13731476917228636,0.1495250518866707,2316,168,12493,2307564.0,0.0,0.0,True
recall10,bge_m3_hybrid_424,rer_bge_m3_hybrid_513_nemotron,0.1193830540161581,0.0,0.11371950357486729,0.12504660445744892,1937,149,12891,2076240.5,0.0,0.0,True
recall10,bge_m3_hybrid_424,rer_bge_m3_hybrid_513_nemotron_tk1000,0.14929558656606798,0.0,0.14305414644062378,0.15553702669151218,2422,186,12369,2543271.0,0.0,0.0,True
recall10,bge_m3_hybrid_424,rer_bge_m3_hybrid_513_nemotron_tk500,0.1464912866395139,0.0,0.14032102851343153,0.1526615447655963,2369,175,12433,2398462.5,0.0,0.0,True
recall10,bge_m3_hybrid_513,bge_m3_hybrid_513_tk1000,6.676904587033452e-05,0.0,-6.410645669951433e-05,0.00019764454844018337,1,0,14976,0.0,0.31731050786291415,1.0,False
recall10,bge_m3_hybrid_513,bge_m3_hybrid_513_tk500,6.676904587033452e-05,0.0,-6.410645669951433e-05,0.00019764454844018337,1,0,14976,0.0,0.31731050786291415,1.0,False
recall10,bge_m3_hybrid_513,bge_m3_hybrid_514,-0.01862856379782333,0.0,-0.022877228912763316,-0.014379898682883342,390,669,13918,5634720.0,1.0041974556276684e-17,1.8075554201298032e-16,True
recall10,bge_m3_hybrid_513,reranked_results,0.06957334579688856,0.0,0.06430959136261521,0.07483710023116191,1366,324,13287,4578930.0,9.729216555904675e-142,3.3079336290075894e-140,True
recall10,bge_m3_hybrid_513,nemotron_topk400,0.12085197302530547,0.0,0.11511522601470947,0.12658872003590146,1975,165,12837,2294737.5,0.0,0.0,True
recall10,bge_m3_hybrid_513,rer_bge_m3_hybrid_513_nemotron,0.09681511651198504,0.0,0.09161008129583625,0.10202015172813383,1586,136,13255,1919844.0,1.6953944913675847e-267,6.951117414607098e-266,True
recall10,bge_m3_hybrid_513,rer_bge_m3_hybrid_513_nemotron_tk1000,0.1267276490618949,0.0,0.12082865217777654,0.13262664594601328,2085,187,12705,2588360.5,0.0,0.0,True
recall10,bge_m3_hybrid_513,rer_bge_m3_hybrid_513_nemotron_tk500,0.12392334913534085,0.0,0.11810250708667541,0.1297441911840063,2032,176,12769,2441736.0,0.0,0.0,True
recall10,bge_m3_hybrid_513_tk1000,bge_m3_hybrid_513_tk500,0.0,0.0,0.0,0.0,0,0,14977,0.0,1.0,1.0,False
recall10,bge_m3_hybrid_513_tk1000,bge_m3_hybrid_514,-0.018695332843693662,0.0,-0.022945938148657898,-0.014444727538729427,390,670,13917,5634525.0,7.962471783257342e-18,1.5924943566514683e-16,True
recall10,bge_m3_hybrid_513_tk1000,reranked_results,0.06950657675101823,0.0,0.06424096922097486,0.07477218428106161,1366,325,13286,4592900.0,2.1807606565130914e-141,7.196510166493201e-140,True
recall10,bge_m3_hybrid_513_tk1000,nemotron_topk400,0.12078520397943514,0.0,0.1150495892907909,0.12652081866807938,1974,165,12838,2294820.0,0.0,0.0,True
recall10,bge_m3_hybrid_513_tk1000,rer_bge_m3_hybrid_513_nemotron,0.09674834746611471,0.0,0.09154134863804521,0.10195534629418422,1586,137,13254,1933892.0,5.609562107871804e-267,2.2438248431487216e-265,True
recall10,bge_m3_hybrid_513_tk1000,rer_bge_m3_hybrid_513_nemotron_tk1000,0.12666088001602457,0.0,0.12076296723885385,0.1325587927931953,2084,187,12706,2588454.0,0.0,0.0,True
recall10,bge_m3_hybrid_513_tk1000,rer_bge_m3_hybrid_513_nemotron_tk500,0.12385658008947052,0.0,0.11803684496052809,0.12967631521841297,2031,176,12770,2441824.0,0.0,0.0,True
recall10,bge_m3_hybrid_513_tk500,bge_m3_hybrid_514,-0.018695332843693662,0.0,-0.022945938148657898,-0.014444727538729427,390,670,13917,5634525.0,7.962471783257342e-18,1.5924943566514683e-16,True
recall10,bge_m3_hybrid_513_tk500,reranked_results,0.06950657675101823,0.0,0.06424096922097486,0.07477218428106161,1366,325,13286,4592900.0,2.1807606565130914e-141,7.196510166493201e-140,True
recall10,bge_m3_hybrid_513_tk500,nemotron_topk400,0.12078520397943514,0.0,0.1150495892907909,0.12652081866807938,1974,165,12838,2294820.0,0.0,0.0,True
recall10,bge_m3_hybrid_513_tk500,rer_bge_m3_hybrid_513_nemotron,0.09674834746611471,0.0,0.09154134863804521,0.10195534629418422,1586,137,13254,1933892.0,5.609562107871804e-267,2.2438248431487216e-265,True
recall10,bge_m3_hybrid_513_tk500,rer_bge_m3_hybrid_513_nemotron_tk1000,0.12666088001602457,0.0,0.12076296723885385,0.1325587927931953,2084,187,12706,2588454.0,0.0,0.0,True
recall10,bge_m3_hybrid_513_tk500,rer_bge_m3_hybrid_513_nemotron_tk500,0.12385658008947052,0.0,0.11803684496052809,0.12967631521841297,2031,176,12770,2441824.0,0.0,0.0,True
recall10,bge_m3_hybrid_514,reranked_results,0.08820190959471189,0.0,0.08257485848819661,0.09382896070122716,1643,322,13012,4506390.0,3.8646438843409045e-195,1.4299182372061346e-193,True
recall10,bge_m3_hybrid_514,nemotron_topk400,0.1394805368231288,0.0,0.1334378751307283,0.1455231985155293,2256,167,12554,2298922.0,0.0,0.0,True
recall10,bge_m3_hybrid_514,rer_bge_m3_hybrid_513_nemotron,0.11544368030980837,0.0,0.10987029057909384,0.1210170700405229,1871,142,12964,1983882.0,0.0,0.0,True
recall10,bge_m3_hybrid_514,rer_bge_m3_hybrid_513_nemotron_tk1000,0.14535621285971823,0.0,0.13916937370217705,0.1515430520172594,2364,187,12426,2562274.0,0.0,0.0,True
recall10,bge_m3_hybrid_514,rer_bge_m3_hybrid_513_nemotron_tk500,0.1425519129331642,0.0,0.13643735481564068,0.1486664710506877,2311,176,12490,2417184.0,0.0,0.0,True
recall10,reranked_results,nemotron_topk400,0.051278627228416904,0.0,0.046609648504888794,0.05594760595194501,1040,272,13665,3895448.0,8.987927044524099e-100,2.606498842911989e-98,True
recall10,reranked_results,rer_bge_m3_hybrid_513_nemotron,0.02724177071509648,0.0,0.023482793797550385,0.031000747632642576,622,214,14141,3115733.0,3.2505226222516904e-45,8.126306555629226e-44,True
recall10,reranked_results,rer_bge_m3_hybrid_513_nemotron_tk1000,0.05715430326500634,0.0,0.05224835734479237,0.06206024918522031,1155,299,13523,4260899.5,1.317131339923496e-111,4.0831071537628375e-110,True
recall10,reranked_results,rer_bge_m3_hybrid_513_nemotron_tk500,0.054350003338452295,0.0,0.049591734061543206,0.05910827261536138,1090,276,13611,3945282.0,1.690702989319406e-107,5.072108967958217e-106,True
recall10,nemotron_topk400,rer_bge_m3_hybrid_513_nemotron,-0.024036856513320423,0.0,-0.027246341430339223,-0.020827371596301623,125,485,14367,1834062.5,3.9938581217713174e-48,1.0384031116605426e-46,True
recall10,nemotron_topk400,rer_bge_m3_hybrid_513_nemotron_tk1000,0.005875676036589437,0.0,0.0038587541884380484,0.007892597884740825,163,75,14739,1114387.5,1.1689572902967436e-08,1.4027487483560925e-07,True
recall10,nemotron_topk400,rer_bge_m3_hybrid_513_nemotron_tk500,0.0030713761100353877,0.0,0.0016995782457427298,0.004443173974328045,78,32,14867,477520.0,1.1549236970298718e-05,0.0001270416066732859,True
recall10,rer_bge_m3_hybrid_513_nemotron,rer_bge_m3_hybrid_513_nemotron_tk1000,0.029912532549909863,0.0,0.026246496020687952,0.03357856907913177,623,175,14179,2551237.5,1.21763654245806e-56,3.409382318882568e-55,True
recall10,rer_bge_m3_hybrid_513_nemotron,rer_bge_m3_hybrid_513_nemotron_tk500,0.02710823262335581,0.0,0.023753533444990628,0.030462931801720994,537,131,14309,1918298.5,1.3203910130006027e-55,3.565055735101627e-54,True
recall10,rer_bge_m3_hybrid_513_nemotron_tk1000,rer_bge_m3_hybrid_513_nemotron_tk500,-0.0028042999265540497,0.0,-0.004617268300377143,-0.0009913315527309565,75,117,14785,1116112.5,0.0024367348089890098,0.02193061328090109,True
