metric,group1,group2,mean_diff_group2_minus_group1,median_diff_group2_minus_group1,ci_low,ci_high,wins_group2,losses_group2,ties,wilcoxon_statistic,p_value,p_holm,reject_holm
ap,bge_m3_hybrid_513_tk1000,bge_m3_hybrid_513_tk500,-3.652048788613137e-05,0.0,-4.030924354893765e-05,-3.273173222332509e-05,34,369,14574,496111.0,8.015375719844341e-63,8.816913291828775e-62,True
ap,bge_m3_hybrid_513_tk1000,bge_m3_hybrid_514,-0.04192948667062214,0.0,-0.045591783526256445,-0.03826718981498784,2248,4927,7802,25931603.0,1.1528090303247721e-203,3.4584270909743163e-202,True
ap,bge_m3_hybrid_513_tk1000,reranked_results,0.0899517358713347,0.0,0.08502204723830685,0.09488142450436256,3899,2939,8139,30445727.0,3.7510277757907123e-78,5.251438886106997e-77,True
ap,bge_m3_hybrid_513_tk1000,nemotron_topk400,0.13309564090249523,0.0,0.12810628888615835,0.1380849929188321,4946,1458,8573,15155615.0,0.0,0.0,True
ap,bge_m3_hybrid_513_tk1000,rer_bge_m3_hybrid_513_nemotron,0.12163546594903916,0.0,0.11681835808046982,0.12645257381760852,4105,2273,8599,23173529.0,3.096122525890627e-201,8.669143072493755e-200,True
ap,bge_m3_hybrid_513_tk1000,rer_bge_m3_hybrid_513_nemotron_tk1000,0.14183132388657568,0.0,0.13666426579246152,0.14699838198068985,5528,1126,8323,12194681.0,0.0,0.0,True
ap,bge_m3_hybrid_513_tk1000,rer_bge_m3_hybrid_513_nemotron_tk500,0.1403670337375341,0.0,0.13521727778543455,0.14551678968963364,5224,1429,8324,14825332.0,0.0,0.0,True
ap,bge_m3_hybrid_513_tk500,bge_m3_hybrid_514,-0.04189296618273602,0.0,-0.04555537561840622,-0.03823055674706582,2248,4579,8150,25948006.5,2.0016370563290702e-171,5.0040926408226755e-170,True
ap,bge_m3_hybrid_513_tk500,reranked_results,0.08998825635922084,0.0,0.0850587402130706,0.09491777250537108,3899,2570,8508,27370029.0,3.8220350876514016e-109,7.261866666537663e-108,True
ap,bge_m3_hybrid_513_tk500,nemotron_topk400,0.13313216139038136,0.0,0.12814306093314912,0.1381212618476136,4946,1089,8942,11908575.0,0.0,0.0,True
ap,bge_m3_hybrid_513_tk500,rer_bge_m3_hybrid_513_nemotron,0.12167198643692531,0.0,0.11685511671424553,0.1264888561596051,4105,1904,8968,19930076.0,1.4831398820006206e-256,5.042675598802111e-255,True
ap,bge_m3_hybrid_513_tk500,rer_bge_m3_hybrid_513_nemotron_tk1000,0.14186784437446182,0.0,0.1367007870214623,0.14703490172746134,5537,1117,8323,12113258.0,0.0,0.0,True
ap,bge_m3_hybrid_513_tk500,rer_bge_m3_hybrid_513_nemotron_tk500,0.1404035542254202,0.0,0.13525405531188592,0.14555305313895447,5224,1060,8693,11670841.0,0.0,0.0,True
ap,bge_m3_hybrid_514,reranked_results,0.13188122254195686,0.0,0.12653423254361787,0.13722821254029585,4734,1645,8598,17648942.5,0.0,0.0,True
ap,bge_m3_hybrid_514,nemotron_topk400,0.1750251275731174,0.0,0.16955214590334033,0.18049810924289444,5836,1015,8126,10466690.0,0.0,0.0,True
